crop_type,month,temperature_celsius,humidity_percent,pressure_hpa,rainfall_mm,wind_speed_mps,quantity_normalized
Soybean,8,26.5,61.8,1011.9,110.4,5.6,0.7143
Rice,5,24.8,61.9,1013.8,43.8,1.0,0.5838
Soybean,6,27.3,67.0,1016.8,81.8,4.0,0.69
Tree Nuts,8,27.5,90.0,1011.0,78.5,2.8,0.6668
Corn,4,17.3,70.8,1011.5,111.9,5.0,0.1219
Sorghum,1,0.1,69.7,1010.2,64.4,3.1,0.0852
Cotton,5,24.7,85.8,1008.7,56.6,0.0,0.5249
Tree Nuts,2,0.8,50.7,1020.5,104.7,5.2,0.0
Soybean,11,6.3,53.8,1014.3,128.9,2.0,0.0
Wheat,11,12.2,68.9,1018.9,79.7,4.5,0.2113
Hay,11,6.4,57.9,1012.3,88.0,4.9,0.002
Soybean,3,12.4,63.9,1008.5,61.3,4.2,0.0071
Corn,5,27.4,70.4,1014.5,55.8,4.9,0.5809
Corn,12,4.0,45.7,1016.0,68.6,3.8,0.0707
Cotton,5,24.2,82.1,1007.6,51.4,4.4,0.5171
Sugar,10,11.1,78.5,1012.5,154.8,6.6,0.1881
Corn,5,25.5,68.4,1002.3,48.3,2.1,0.5522
Rice,11,-1.1,71.5,1008.9,101.9,4.1,0.0417
Hay,1,-0.1,53.8,1008.3,121.0,5.2,0.0
Soybean,7,27.9,75.3,1000.5,101.5,2.1,0.9384
Sorghum,10,22.8,54.9,1018.4,235.0,4.1,0.3208
Soybean,3,8.9,70.8,1017.8,0.0,0.0,0.0
Tree Nuts,9,20.9,72.0,1015.6,84.3,2.1,0.3573
Sorghum,2,3.4,51.4,1015.7,11.4,3.3,0.0
Soybean,5,24.5,80.1,1016.9,40.9,2.2,0.2447
Sorghum,2,2.0,43.7,1015.0,0.0,1.9,0.0
Hay,5,17.3,68.7,1003.7,16.6,3.8,0.087
Wheat,2,0.6,47.6,1011.7,44.8,1.3,0.0
Rice,2,1.0,42.5,1007.7,66.6,4.2,0.0084
Cotton,3,8.6,62.1,1014.3,56.2,2.0,0.0589
Barley,5,22.6,65.8,1013.9,43.7,5.2,0.2401
Sugar,1,-1.2,35.5,1008.4,28.2,7.4,0.0
Barley,8,30.0,72.7,1012.1,97.7,0.0,0.1983
Barley,3,9.2,66.7,1007.9,8.4,3.2,0.0436
Barley,2,-0.2,59.7,1009.5,0.0,3.8,0.0
Cotton,2,1.5,43.3,1006.0,0.0,4.4,0.1165
Tree Nuts,1,-0.0,50.3,1013.8,33.9,4.2,0.0544
Tree Nuts,9,22.4,57.3,1011.9,98.6,1.7,0.3846
Sugar,12,-3.1,38.2,1008.1,92.6,7.9,0.0
Hay,3,6.5,51.3,1004.9,0.0,2.3,0.0
Hay,8,29.1,95.1,1001.5,87.8,1.6,0.6237
Tree Nuts,12,-3.6,41.2,1006.2,72.8,4.9,0.0496
Sugar,11,7.1,65.3,1020.3,55.1,2.4,0.0
Tree Nuts,9,27.2,72.9,1013.9,68.3,3.9,0.445
Wheat,3,6.5,67.6,1019.4,67.9,1.1,0.0035
Cotton,11,6.1,39.5,1011.2,105.4,5.3,0.0211
Cotton,3,5.0,70.5,1018.1,126.3,5.8,0.1318
Barley,11,15.3,52.2,1006.9,40.7,0.2,0.1423
Tree Nuts,5,19.7,57.3,1009.0,85.6,1.3,0.2642
Soybean,1,0.9,59.1,1009.7,24.0,3.2,0.0075
Wheat,4,8.9,75.6,1025.0,12.2,5.0,0.0272
Barley,4,12.1,73.0,1017.3,34.0,0.6,0.1538
Sugar,5,23.1,83.4,1011.3,59.1,3.4,0.2732
Sorghum,11,4.1,61.2,1018.6,53.1,3.7,0.0
Sorghum,6,26.5,91.4,1021.1,87.3,3.1,0.6278
Soybean,5,25.7,56.7,1012.3,79.1,5.5,0.4032
Wheat,10,14.8,51.2,1011.7,91.6,2.0,0.4218
Barley,8,26.7,69.3,1016.2,72.2,0.8,0.4239
Sorghum,12,3.2,60.4,1008.5,67.5,2.8,0.0
Barley,5,23.9,83.3,1019.2,24.6,1.8,0.2079
Sugar,4,11.8,55.1,1004.9,52.8,3.4,0.0893
Cotton,12,1.0,47.2,1006.5,76.2,2.6,0.0396
Hay,2,1.7,50.8,1013.1,12.2,0.0,0.0
Hay,7,33.4,62.1,1012.3,146.0,6.8,0.2863
Sorghum,5,21.4,87.9,1007.9,80.0,4.1,0.3166
Soybean,9,15.8,98.9,1014.2,101.9,4.5,0.0
Tree Nuts,6,33.2,87.4,1009.7,54.1,5.7,0.2797
Wheat,6,26.2,59.5,1008.3,69.4,2.9,0.2616
Corn,2,5.5,48.0,1016.7,103.2,6.5,0.0
Sorghum,4,11.2,58.6,1014.9,27.8,4.1,0.0727
Soybean,6,34.4,64.3,1018.9,102.7,3.5,0.4822
Sugar,2,0.7,57.2,1016.1,37.6,4.3,0.0
Barley,1,-0.4,46.4,1011.1,31.4,0.0,0.0617
Wheat,2,1.5,56.5,1011.6,85.2,6.8,0.0866
Cotton,7,30.7,93.4,1012.2,75.3,1.8,0.3944
Corn,8,27.4,77.4,1025.3,55.4,2.4,0.5529
Tree Nuts,2,-2.1,61.6,1010.0,104.3,3.8,0.06
Barley,10,19.2,66.5,1013.0,119.5,3.9,0.3854
Soybean,5,22.6,81.5,1012.6,102.1,0.0,0.3562
Cotton,11,4.2,46.3,1013.8,141.4,1.1,0.0603
Corn,5,24.5,59.0,1017.5,5.6,1.2,0.0196
Wheat,5,19.7,80.5,1009.8,45.5,2.0,0.062
Rice,7,26.6,73.7,1021.8,41.8,2.4,0.4664
Wheat,6,27.5,61.2,1012.5,113.2,0.4,0.4678
Tree Nuts,5,23.7,70.9,1009.4,41.1,2.9,0.3858
Tree Nuts,2,3.1,60.2,1015.9,59.1,1.8,0.0
Sorghum,1,-0.6,69.7,1010.0,12.1,3.1,0.0
Soybean,11,6.0,50.3,1011.1,70.5,3.7,0.0616
Sugar,5,19.2,87.5,1018.7,55.8,3.8,0.2605
Corn,1,1.9,52.6,1005.1,27.6,2.4,0.0
Cotton,10,15.1,62.3,1012.6,76.4,1.2,0.1733
Sorghum,12,0.5,64.6,1016.6,34.9,0.0,0.0152
Sorghum,6,25.8,79.0,1010.4,27.6,0.0,0.3793
Barley,12,7.0,50.2,1010.0,7.1,5.7,0.0045
