crop_type,month,temperature_celsius,humidity_percent,pressure_hpa,rainfall_mm,wind_speed_mps,quantity_normalized
Hay & Forages,8,26.2,62.5,1018.3,75.9,2.8,0.5402
Lettuce,7,29.3,65.2,1008.1,65.7,5.4,0.6689
Grapes,7,32.3,52.2,1015.6,74.2,3.5,0.3102
Sunflowers,11,12.1,66.7,1014.3,129.6,1.7,0.0974
Sunflowers,5,15.1,70.7,1001.4,34.9,5.0,0.088
Wheat,2,-1.4,52.6,1010.3,0.0,6.0,0.0
Wheat,1,-3.6,54.2,1015.4,57.5,3.9,0.0
Wheat,2,0.1,63.4,1007.3,67.3,4.5,0.0
Potatoes,4,20.2,59.0,1015.5,21.3,5.0,0.195
Dry Beans,7,34.1,84.8,1020.9,86.7,3.1,0.5496
Corn,11,5.3,79.7,1002.5,65.5,2.0,0.0
Sunflowers,12,-0.4,60.4,1017.0,99.0,5.1,0.0
Almonds,12,7.3,55.6,1010.7,61.9,2.0,0.1165
Barley,7,29.5,69.5,1014.5,62.1,4.3,0.5301
Peanuts,10,14.8,72.1,1009.0,67.9,3.5,0.0437
Grapes,10,15.8,67.4,1026.0,114.9,4.8,0.3874
Wheat,11,1.6,67.6,1003.5,70.1,0.0,0.0136
Soybeans,4,14.1,83.3,1017.5,20.5,1.6,0.0
Almonds,7,26.4,83.1,1009.2,90.6,6.2,0.3527
Apples,6,30.5,63.2,1014.6,253.7,0.0,0.5297
Lettuce,10,12.4,65.0,1017.8,75.6,0.5,0.0
Potatoes,11,9.0,49.4,1013.7,65.9,3.5,0.058
Canola,7,31.0,74.5,1023.6,52.9,0.5,0.2224
Grapes,7,29.4,71.7,1018.8,119.4,4.2,0.6998
Grapes,8,29.3,64.1,1010.4,205.7,6.0,0.6253
Sugar Beets,4,12.2,72.5,1011.2,26.9,3.7,0.0
Soybeans,1,-1.3,64.0,1011.4,36.7,5.4,0.027
Soybeans,12,3.2,40.4,1005.1,58.2,1.4,0.0066
Wheat,2,2.6,73.4,1010.6,53.7,2.1,0.0757
Sunflowers,8,25.4,77.4,1014.6,104.1,3.7,0.7739
Lettuce,3,6.6,59.0,1007.5,31.4,3.5,0.0273
Lettuce,5,21.8,71.4,1009.5,89.5,1.0,0.5126
Dry Beans,7,26.2,71.8,1015.6,60.5,3.3,0.7733
Dry Beans,2,2.7,45.3,1013.1,0.0,5.5,0.0118
Sugar Beets,6,29.6,83.0,1016.0,43.3,6.8,0.0594
Sugar Beets,8,25.4,68.2,1003.9,91.9,3.9,0.3949
Canola,11,2.9,69.5,1011.1,142.0,2.6,0.0232
Sorghum,4,10.8,63.7,1013.9,5.8,4.5,0.0
Soybeans,2,3.5,49.6,1007.4,0.0,0.0,0.0072
Barley,3,5.3,58.7,1021.1,77.4,0.0,0.0769
Rice,8,30.6,85.1,1008.6,106.1,1.1,0.2934
Sugar Beets,1,-0.7,43.8,999.5,22.2,4.8,0.0
Tomatoes,7,30.0,82.3,1005.6,53.9,6.7,0.4403
Canola,4,17.5,72.6,1011.0,23.2,2.4,0.1639
Hay & Forages,2,3.8,52.0,1020.1,30.4,3.2,0.0
Soybeans,7,30.2,71.2,1012.7,130.8,1.7,0.9539
Lettuce,8,27.0,62.5,1011.6,68.7,1.2,0.5745
Dry Beans,6,27.4,55.8,1013.7,128.1,6.8,0.6899
Soybeans,11,4.1,45.5,1017.0,49.6,6.5,0.0385
Dry Beans,12,-0.4,47.4,1014.0,39.9,6.0,0.0
Corn,11,12.2,38.9,1015.6,45.5,0.1,0.017
Hay & Forages,5,21.7,67.7,1008.7,115.9,4.6,0.1212
Sugar Beets,8,29.1,61.2,1011.1,63.9,1.9,0.1841
Cotton,2,1.0,55.6,1014.8,0.0,6.5,0.0
Sugar Beets,9,26.8,50.4,1005.3,132.7,5.3,0.2965
Wheat,10,12.3,64.4,1021.1,91.5,2.5,0.3994
Apples,1,-2.0,56.4,1008.3,60.2,4.0,0.0
Corn,3,4.8,55.0,1015.6,35.9,4.2,0.0
Lettuce,10,11.0,71.3,1009.8,49.6,0.3,0.0
Oranges,4,15.9,54.4,1013.2,25.2,0.0,0.12
Apples,9,16.9,74.9,1015.4,98.4,1.3,0.5596
Sugar Beets,12,3.4,53.5,1017.9,56.8,3.7,0.0885
Sunflowers,5,19.1,61.9,1021.6,173.1,2.5,0.2182
Apples,9,23.7,87.3,1009.3,83.6,1.1,0.5982
Sorghum,2,-1.0,37.4,1020.9,6.4,5.0,0.0382
Peanuts,4,14.5,66.5,1011.8,78.1,4.7,0.0983
Rice,1,-1.7,70.1,1011.3,34.1,5.4,0.034
Peanuts,4,13.4,63.0,1009.3,24.8,5.8,0.0288
Sugar Beets,10,12.2,70.6,1002.7,58.7,3.8,0.1543
Potatoes,11,6.4,62.9,1013.1,83.3,4.4,0.0
Rice,2,5.9,48.0,1010.6,49.8,2.1,0.0169
Tomatoes,11,7.3,74.0,1009.8,54.3,4.4,0.0347
Wheat,11,7.6,68.6,1009.3,102.7,7.1,0.0757
Dry Beans,2,-3.5,56.2,1012.2,137.4,5.8,0.0881
Apples,1,-3.2,31.0,1010.9,71.8,0.5,0.0
Grapes,9,24.5,83.2,1010.3,78.6,4.9,0.5457
Cotton,2,4.1,62.1,1015.4,25.8,2.9,0.0046
Apples,3,2.1,43.1,1018.2,51.8,3.8,0.0568
Oranges,3,7.4,65.8,1014.0,0.0,3.0,0.0
Lettuce,4,16.8,64.4,1006.0,37.4,3.7,0.0
Potatoes,2,-0.6,62.5,1011.6,69.4,0.7,0.0162
Barley,11,8.9,54.1,1013.2,62.5,0.0,0.0
Rice,7,33.5,90.5,1007.6,103.0,4.5,0.2362
Rice,5,23.2,81.0,1010.0,94.2,3.2,0.9002
Sugar Beets,2,0.4,54.6,1009.2,29.7,4.3,0.0
Dry Beans,10,14.9,68.6,1015.3,121.5,3.6,0.0721
Apples,10,16.3,62.2,1022.5,57.8,1.4,0.2541
Grapes,5,24.6,74.4,1008.8,49.3,4.5,0.1393
Hay & Forages,11,9.2,68.8,1007.7,74.5,2.5,0.0912
Apples,7,23.9,87.2,1014.3,118.3,1.7,0.9413
Hay & Forages,7,30.7,80.5,1009.4,132.9,4.7,0.4798
Corn,7,30.4,73.4,1016.3,58.8,0.6,0.4122
Cotton,10,14.4,63.9,1012.1,40.1,1.4,0.1342
Cotton,12,0.2,52.5,1008.9,109.7,3.2,0.0483
Dry Beans,6,32.8,70.7,1010.1,77.0,1.8,0.626
Dry Beans,7,29.5,68.0,1012.7,73.2,0.8,0.7436
Sunflowers,1,-2.3,59.1,1013.3,57.0,2.6,0.0784
Barley,9,20.1,63.4,1016.1,51.7,0.0,0.1341
Soybeans,7,31.9,67.8,1014.8,78.9,1.8,0.6746
Sorghum,6,23.2,90.9,1017.3,98.7,6.1,0.4615
Apples,9,21.0,81.3,1014.3,122.0,2.6,0.704
Apples,12,-2.3,61.9,1019.9,46.1,5.6,0.0374
Apples,4,16.4,30.5,1011.1,17.8,5.4,0.1289
Wheat,11,15.0,48.6,1018.1,116.4,1.0,0.3685
Potatoes,8,32.3,75.2,1020.9,102.1,3.2,0.2161
Soybeans,4,13.4,67.8,1014.9,45.8,1.1,0.0
Almonds,10,11.8,72.5,1011.0,133.2,1.9,0.5847
Tomatoes,4,16.5,73.7,1004.1,98.4,1.3,0.1606
Sunflowers,12,-1.1,62.7,1016.6,65.0,3.2,0.0255
Tomatoes,4,11.1,82.3,1014.1,44.6,3.0,0.0411
Lettuce,11,5.7,53.6,1013.3,78.6,2.5,0.0
Soybeans,5,21.5,73.3,1010.4,37.4,3.9,0.1298
Peanuts,8,31.8,58.4,1005.8,184.9,3.8,0.6678
